Method,Client,Task,# Experts,% Param,Final Accuracy (%),Final Loss,History path
Top-3,3,QNLI,4,,87.5,0.3895473778247833,/content/FedLEASE_ablation/runs/ablation_12clients_fixed_top3_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
Top-3,4,QNLI,4,,92.00000166893005,0.32018089294433594,/content/FedLEASE_ablation/runs/ablation_12clients_fixed_top3_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
Top-3,5,QNLI,4,,84.50000286102295,0.5655579566955566,/content/FedLEASE_ablation/runs/ablation_12clients_fixed_top3_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
Top-3,6,MRPC,4,,87.00000047683716,0.4378531575202942,/content/FedLEASE_ablation/runs/ablation_12clients_fixed_top3_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
Top-3,7,MRPC,4,,89.49999809265137,0.3178284168243408,/content/FedLEASE_ablation/runs/ablation_12clients_fixed_top3_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
Top-3,8,MRPC,4,,91.00000262260437,0.3044554889202118,/content/FedLEASE_ablation/runs/ablation_12clients_fixed_top3_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
Top-3,9,QQP,4,,81.99999928474426,0.6265146136283875,/content/FedLEASE_ablation/runs/ablation_12clients_fixed_top3_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
Top-3,10,QQP,4,,82.99999833106995,0.6353148818016052,/content/FedLEASE_ablation/runs/ablation_12clients_fixed_top3_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
Top-3,11,QQP,4,,83.99999737739563,0.5747718214988708,/content/FedLEASE_ablation/runs/ablation_12clients_fixed_top3_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
Top-4,0,SST-2,4,,95.49999833106995,0.2451530247926712,/content/FedLEASE_ablation/runs/ablation_12clients_fixed_top4_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
Top-4,1,SST-2,4,,95.49999833106995,0.297425776720047,/content/FedLEASE_ablation/runs/ablation_12clients_fixed_top4_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
Top-4,2,SST-2,4,,91.00000262260437,0.48834121227264404,/content/FedLEASE_ablation/runs/ablation_12clients_fixed_top4_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
Top-4,3,QNLI,4,,88.49999904632568,0.38602012395858765,/content/FedLEASE_ablation/runs/ablation_12clients_fixed_top4_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
Top-4,4,QNLI,4,,92.00000166893005,0.29169392585754395,/content/FedLEASE_ablation/runs/ablation_12clients_fixed_top4_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
Top-4,5,QNLI,4,,85.50000190734863,0.5340036749839783,/content/FedLEASE_ablation/runs/ablation_12clients_fixed_top4_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
Top-4,6,MRPC,4,,86.50000095367432,0.5310420989990234,/content/FedLEASE_ablation/runs/ablation_12clients_fixed_top4_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
Top-4,7,MRPC,4,,89.49999809265137,0.39949631690979004,/content/FedLEASE_ablation/runs/ablation_12clients_fixed_top4_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
Top-4,8,MRPC,4,,85.50000190734863,0.520426869392395,/content/FedLEASE_ablation/runs/ablation_12clients_fixed_top4_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
Top-4,9,QQP,4,,81.49999976158142,0.7193870544433594,/content/FedLEASE_ablation/runs/ablation_12clients_fixed_top4_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
Top-4,10,QQP,4,,81.99999928474426,0.7317537069320679,/content/FedLEASE_ablation/runs/ablation_12clients_fixed_top4_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
Top-4,11,QQP,4,,83.99999737739563,0.6632527112960815,/content/FedLEASE_ablation/runs/ablation_12clients_fixed_top4_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
